Gender,Job,Edu,Health,Earn,Self_conf
여성,비경활,초등,전혀 지장없음,중,중
남성,임금_중숙련,초등,전혀 지장없음,하,중
여성,임금_저숙련,중등,그렇지 않은 편,하,중
남성,임금_중숙련,중등,그렇지 않은 편,중,중
남성,임금_중숙련,초등,그렇지 않은 편,중,상
여성,임금_저숙련,중등,전혀 지장없음,상,중
여성,비경활,중등,그렇지 않은 편,하,상
남성,임금_고숙련,초등,전혀 지장없음,상,중
여성,비경활,초등,그렇지 않은 편,중,상
남성,임금_고숙련,초등,그렇지 않은 편,상,중
여성,비경활,중등,전혀 지장없음,중,중
남성,임금_중숙련,초등,전혀 지장없음,중,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
남성,비경활,중등,전혀 지장없음,중,중
여성,비경활,중등,전혀 지장없음,중,하
여성,비경활,중등,전혀 지장없음,중,상
남성,은퇴,고등,그렇지 않은 편,중,중
남성,임금_고숙련,초등,그렇지 않은 편,중,중
여성,비경활,초등,그렇지 않은 편,하,상
여성,비경활,중등,그렇지 않은 편,하,중
여성,임금_중숙련,중등,전혀 지장없음,하,중
남성,임금_고숙련,초등,그렇지 않은 편,하,중
여성,임금_저숙련,중등,그렇지 않은 편,중,중
남성,비경활,고등,전혀 지장없음,중,중
남성,은퇴,초등,그렇지 않은 편,중,중
여성,무급가족종사자,초등,전혀 지장없음,상,중
남성,은퇴,중등,그렇지 않은 편,상,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
여성,은퇴,중등,전혀 지장없음,중,상
여성,부분은퇴,중등,그렇지 않은 편,중,상
남성,은퇴,중등,그렇지 않은 편,중,중
여성,비경활,중등,전혀 지장없음,중,중
여성,임금_저숙련,중등,그렇지 않은 편,중,상
여성,은퇴,중등,전혀 지장없음,중,상
여성,비경활,중등,그렇지 않은 편,중,상
여성,임금_저숙련,중등,그렇지 않은 편,하,중
여성,임금_저숙련,고등,그렇지 않은 편,상,중
여성,은퇴,초등,전혀 지장없음,상,상
여성,임금_저숙련,초등,그렇지 않은 편,중,중
남성,은퇴,초등,전혀 지장없음,상,중
여성,은퇴,중등,그렇지 않은 편,하,중
남성,임금_중숙련,초등,전혀 지장없음,하,상
여성,비경활,고등,그렇지 않은 편,상,중
남성,임금_저숙련,대학교 이상,그렇지 않은 편,중,중
여성,부분은퇴,중등,그렇지 않은 편,중,중
여성,임금_중숙련,중등,그렇지 않은 편,중,중
남성,은퇴,중등,그렇지 않은 편,상,중
여성,임금_저숙련,중등,그렇지 않은 편,상,중
여성,은퇴,고등,전혀 지장없음,중,중
여성,비경활,중등,그렇지 않은 편,중,중
여성,비경활,중등,전혀 지장없음,중,하
남성,부분은퇴,중등,전혀 지장없음,중,중
남성,은퇴,대학교 이상,전혀 지장없음,중,중
여성,비경활,중등,그렇지 않은 편,중,하
여성,비경활,중등,전혀 지장없음,중,중
여성,은퇴,중등,그렇지 않은 편,상,중
여성,부분은퇴,중등,그렇지 않은 편,중,중
남성,은퇴,중등,그렇지 않은 편,중,중
남성,임금_저숙련,고등,전혀 지장없음,중,중
여성,은퇴,고등,전혀 지장없음,하,중
남성,은퇴,중등,그렇지 않은 편,중,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
여성,은퇴,대학교 이상,전혀 지장없음,중,중
여성,임금_중숙련,중등,그렇지 않은 편,하,중
여성,은퇴,중등,그렇지 않은 편,중,중
여성,은퇴,중등,그렇지 않은 편,중,중
남성,임금_중숙련,초등,그렇지 않은 편,상,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
여성,비경활,중등,전혀 지장없음,하,중
여성,임금_중숙련,고등,전혀 지장없음,중,중
여성,비경활,대학교 이상,그렇지 않은 편,하,중
남성,임금_중숙련,중등,전혀 지장없음,상,중
여성,비경활,중등,그렇지 않은 편,중,중
여성,임금_저숙련,중등,전혀 지장없음,하,중
남성,비경활,초등,전혀 지장없음,상,상
남성,은퇴,초등,그렇지 않은 편,하,중
여성,비경활,중등,그렇지 않은 편,중,중
남성,임금_저숙련,중등,그렇지 않은 편,중,중
여성,임금_저숙련,초등,그렇지 않은 편,중,중
여성,임금_저숙련,중등,전혀 지장없음,상,중
여성,비경활,중등,그렇지 않은 편,하,중
여성,무급가족종사자,중등,전혀 지장없음,중,중
여성,은퇴,중등,그렇지 않은 편,상,상
남성,임금_저숙련,초등,그렇지 않은 편,상,상
여성,비경활,초등,그렇지 않은 편,중,중
남성,임금_고숙련,초등,전혀 지장없음,상,중
여성,임금_고숙련,초등,전혀 지장없음,하,상
여성,비경활,초등,전혀 지장없음,하,중
여성,비경활,중등,전혀 지장없음,중,상
여성,임금_중숙련,고등,전혀 지장없음,중,중
여성,임금_저숙련,중등,그렇지 않은 편,중,중
남성,임금_중숙련,중등,그렇지 않은 편,상,중
여성,비경활,고등,전혀 지장없음,하,중
여성,비경활,중등,그렇지 않은 편,하,중
여성,은퇴,중등,그렇지 않은 편,중,중
남성,은퇴,초등,전혀 지장없음,상,중
여성,비경활,중등,그렇지 않은 편,하,상
여성,비경활,중등,전혀 지장없음,중,상
남성,은퇴,중등,전혀 지장없음,상,상
여성,은퇴,대학교 이상,그렇지 않은 편,중,중
여성,은퇴,중등,전혀 지장없음,중,중
여성,임금_저숙련,대학교 이상,그렇지 않은 편,하,중
남성,임금_저숙련,대학교 이상,전혀 지장없음,중,중
여성,임금_저숙련,초등,그렇지 않은 편,하,중
남성,임금_중숙련,중등,그렇지 않은 편,중,중
여성,비경활,대학교 이상,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,중,중
남성,비경활,초등,그렇지 않은 편,중,중
여성,비경활,고등,전혀 지장없음,상,중
여성,부분은퇴,고등,그렇지 않은 편,하,중
여성,비경활,중등,그렇지 않은 편,하,중
여성,부분은퇴,중등,그렇지 않은 편,중,중
여성,비경활,중등,전혀 지장없음,하,중
남성,임금_저숙련,중등,그렇지 않은 편,상,상
여성,임금_저숙련,중등,그렇지 않은 편,하,중
여성,임금_저숙련,고등,그렇지 않은 편,중,상
여성,은퇴,초등,전혀 지장없음,상,중
여성,비경활,중등,전혀 지장없음,중,중
남성,은퇴,초등,전혀 지장없음,중,상
여성,은퇴,중등,그렇지 않은 편,중,중
남성,은퇴,중등,그렇지 않은 편,중,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
여성,부분은퇴,고등,전혀 지장없음,중,상
여성,비경활,중등,전혀 지장없음,중,중
남성,부분은퇴,중등,전혀 지장없음,중,상
여성,부분은퇴,중등,전혀 지장없음,중,중
남성,은퇴,초등,전혀 지장없음,중,상
남성,은퇴,고등,전혀 지장없음,중,상
남성,임금_중숙련,고등,그렇지 않은 편,중,중
남성,임금_저숙련,초등,그렇지 않은 편,상,상
남성,임금_중숙련,초등,그렇지 않은 편,중,중
여성,임금_저숙련,고등,전혀 지장없음,중,상
남성,임금_중숙련,중등,그렇지 않은 편,중,중
남성,은퇴,초등,전혀 지장없음,중,중
여성,은퇴,중등,그렇지 않은 편,중,중
여성,비경활,고등,전혀 지장없음,중,중
여성,임금_중숙련,중등,전혀 지장없음,중,중
여성,비경활,중등,그렇지 않은 편,상,상
남성,임금_저숙련,초등,전혀 지장없음,중,중
남성,임금_고숙련,중등,전혀 지장없음,하,상
여성,임금_중숙련,고등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,하,상
남성,부분은퇴,중등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,중,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
남성,은퇴,중등,그렇지 않은 편,중,상
여성,비경활,대학교 이상,전혀 지장없음,하,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
여성,은퇴,중등,전혀 지장없음,하,상
남성,무급가족종사자,중등,그렇지 않은 편,상,중
남성,비경활,고등,그렇지 않은 편,중,중
여성,임금_저숙련,고등,전혀 지장없음,하,상
남성,은퇴,중등,전혀 지장없음,상,중
여성,비경활,고등,전혀 지장없음,중,중
남성,부분은퇴,중등,전혀 지장없음,중,상
여성,비경활,중등,전혀 지장없음,중,중
여성,비경활,대학교 이상,전혀 지장없음,하,중
여성,임금_저숙련,고등,전혀 지장없음,중,중
여성,비경활,중등,전혀 지장없음,중,중
남성,비경활,중등,전혀 지장없음,중,중
남성,부분은퇴,중등,그렇지 않은 편,상,상
여성,은퇴,중등,그렇지 않은 편,중,중
여성,비경활,중등,전혀 지장없음,중,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
여성,임금_저숙련,고등,전혀 지장없음,중,중
여성,임금_저숙련,고등,그렇지 않은 편,하,중
여성,임금_저숙련,중등,그렇지 않은 편,중,중
남성,임금_중숙련,중등,그렇지 않은 편,하,중
여성,비경활,중등,그렇지 않은 편,중,중
여성,은퇴,고등,전혀 지장없음,하,중
여성,비경활,초등,전혀 지장없음,하,중
여성,비경활,대학교 이상,전혀 지장없음,하,중
여성,비경활,고등,전혀 지장없음,중,중
여성,은퇴,중등,그렇지 않은 편,하,중
여성,은퇴,중등,전혀 지장없음,중,상
여성,은퇴,대학교 이상,그렇지 않은 편,상,중
남성,임금_저숙련,중등,그렇지 않은 편,중,중
여성,비경활,중등,전혀 지장없음,하,중
여성,은퇴,초등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,중,중
남성,임금_저숙련,중등,그렇지 않은 편,중,중
여성,은퇴,초등,그렇지 않은 편,상,중
여성,임금_저숙련,중등,그렇지 않은 편,하,중
여성,비경활,고등,그렇지 않은 편,상,중
여성,임금_저숙련,중등,그렇지 않은 편,중,중
여성,은퇴,중등,그렇지 않은 편,하,중
여성,비경활,초등,전혀 지장없음,중,중
여성,비경활,고등,전혀 지장없음,중,중
남성,임금_고숙련,초등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,하,중
남성,임금_저숙련,대학교 이상,전혀 지장없음,하,중
남성,임금_중숙련,고등,전혀 지장없음,하,중
여성,임금_중숙련,초등,전혀 지장없음,하,중
여성,은퇴,대학교 이상,전혀 지장없음,하,중
남성,부분은퇴,초등,전혀 지장없음,상,중
남성,임금_고숙련,중등,그렇지 않은 편,상,중
여성,임금_중숙련,중등,그렇지 않은 편,중,중
여성,은퇴,고등,전혀 지장없음,하,상
여성,비경활,중등,전혀 지장없음,상,상
여성,비경활,초등,그렇지 않은 편,중,상
남성,은퇴,초등,전혀 지장없음,상,중
여성,임금_저숙련,중등,전혀 지장없음,중,상
여성,임금_저숙련,고등,전혀 지장없음,중,중
여성,은퇴,고등,전혀 지장없음,하,중
여성,은퇴,중등,전혀 지장없음,중,상
남성,비경활,중등,그렇지 않은 편,중,상
여성,비경활,중등,전혀 지장없음,하,중
여성,비경활,중등,전혀 지장없음,중,중
남성,임금_중숙련,중등,그렇지 않은 편,상,중
남성,임금_중숙련,중등,그렇지 않은 편,중,상
여성,은퇴,중등,전혀 지장없음,상,중
남성,은퇴,초등,그렇지 않은 편,중,중
남성,임금_저숙련,고등,그렇지 않은 편,하,중
여성,은퇴,대학교 이상,그렇지 않은 편,하,중
여성,임금_중숙련,고등,전혀 지장없음,하,중
여성,은퇴,초등,전혀 지장없음,중,중
여성,비경활,중등,그렇지 않은 편,중,상
여성,은퇴,중등,그렇지 않은 편,하,중
남성,은퇴,중등,전혀 지장없음,중,중
남성,비경활,초등,전혀 지장없음,중,중
여성,비경활,중등,전혀 지장없음,중,중
여성,임금_고숙련,중등,그렇지 않은 편,중,중
여성,비경활,대학교 이상,그렇지 않은 편,중,중
여성,은퇴,중등,그렇지 않은 편,하,중
여성,비경활,중등,전혀 지장없음,중,중
여성,은퇴,중등,전혀 지장없음,중,중
여성,비경활,대학교 이상,그렇지 않은 편,중,중
남성,은퇴,고등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,중,중
여성,비경활,고등,그렇지 않은 편,중,중
여성,임금_저숙련,대학교 이상,전혀 지장없음,중,중
여성,비경활,중등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,하,중
남성,은퇴,초등,그렇지 않은 편,상,상
여성,비경활,중등,전혀 지장없음,상,상
남성,비경활,초등,활동에 제한 있음,중,중
여성,비경활,초등,그렇지 않은 편,상,중
남성,비경활,초등,그렇지 않은 편,중,중
남성,비경활,대학교 이상,전혀 지장없음,하,중
여성,비경활,중등,그렇지 않은 편,중,하
여성,은퇴,중등,전혀 지장없음,중,상
남성,임금_저숙련,고등,그렇지 않은 편,중,중
여성,임금_고숙련,초등,그렇지 않은 편,중,중
여성,임금_저숙련,중등,전혀 지장없음,하,중
여성,임금_저숙련,고등,전혀 지장없음,중,중
여성,비경활,중등,전혀 지장없음,하,중
여성,은퇴,중등,전혀 지장없음,중,중
남성,은퇴,중등,그렇지 않은 편,하,중
남성,임금_저숙련,대학교 이상,그렇지 않은 편,중,중
여성,비경활,고등,그렇지 않은 편,중,중
여성,은퇴,초등,전혀 지장없음,중,중
여성,은퇴,대학교 이상,그렇지 않은 편,중,상
여성,비경활,중등,전혀 지장없음,중,중
여성,은퇴,중등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,상,중
여성,비경활,중등,전혀 지장없음,상,중
여성,비경활,고등,그렇지 않은 편,하,중
남성,은퇴,중등,그렇지 않은 편,하,중
남성,임금_중숙련,중등,전혀 지장없음,상,상
여성,비경활,중등,그렇지 않은 편,중,중
남성,은퇴,중등,전혀 지장없음,중,상
남성,임금_고숙련,중등,그렇지 않은 편,중,상
남성,임금_저숙련,중등,전혀 지장없음,중,상
여성,비경활,중등,전혀 지장없음,하,상
남성,은퇴,초등,전혀 지장없음,상,중
여성,임금_중숙련,중등,그렇지 않은 편,중,상
남성,비경활,초등,전혀 지장없음,중,상
남성,임금_중숙련,중등,전혀 지장없음,중,상
남성,은퇴,중등,그렇지 않은 편,중,상
남성,은퇴,초등,전혀 지장없음,상,상
남성,임금_중숙련,초등,전혀 지장없음,상,상
여성,비경활,대학교 이상,그렇지 않은 편,하,중
남성,비경활,고등,전혀 지장없음,하,중
여성,임금_중숙련,중등,그렇지 않은 편,중,상
여성,임금_저숙련,중등,전혀 지장없음,중,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
여성,은퇴,중등,전혀 지장없음,하,중
남성,임금_중숙련,중등,전혀 지장없음,중,중
여성,임금_저숙련,중등,그렇지 않은 편,중,상
여성,임금_중숙련,중등,그렇지 않은 편,중,중
남성,은퇴,중등,그렇지 않은 편,중,중
여성,비경활,초등,전혀 지장없음,중,상
남성,임금_중숙련,중등,그렇지 않은 편,상,중
여성,임금_저숙련,중등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,중,중
남성,임금_저숙련,고등,전혀 지장없음,중,중
남성,임금_저숙련,중등,전혀 지장없음,중,중
여성,임금_저숙련,중등,그렇지 않은 편,하,중
여성,비경활,대학교 이상,전혀 지장없음,중,중
여성,비경활,고등,전혀 지장없음,중,상
남성,임금_고숙련,중등,전혀 지장없음,중,중
여성,임금_저숙련,초등,그렇지 않은 편,중,중
남성,은퇴,초등,그렇지 않은 편,상,상
여성,비경활,중등,그렇지 않은 편,중,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
남성,은퇴,초등,전혀 지장없음,중,상
남성,임금_중숙련,중등,전혀 지장없음,상,중
여성,비경활,중등,전혀 지장없음,중,중
여성,임금_저숙련,고등,전혀 지장없음,중,중
남성,임금_고숙련,초등,그렇지 않은 편,중,중
남성,임금_고숙련,초등,전혀 지장없음,상,중
남성,임금_저숙련,중등,전혀 지장없음,상,상
여성,비경활,중등,전혀 지장없음,중,중
여성,비경활,초등,전혀 지장없음,중,중
남성,임금_고숙련,초등,전혀 지장없음,상,중
남성,임금_고숙련,초등,전혀 지장없음,상,중
여성,비경활,초등,전혀 지장없음,중,중
여성,임금_중숙련,중등,전혀 지장없음,중,상
여성,비경활,초등,전혀 지장없음,상,상
여성,임금_중숙련,중등,전혀 지장없음,중,중
여성,비경활,대학교 이상,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,중,중
남성,임금_중숙련,초등,전혀 지장없음,상,중
여성,비경활,중등,전혀 지장없음,하,중
남성,임금_저숙련,중등,전혀 지장없음,상,상
여성,비경활,중등,전혀 지장없음,중,상
여성,무급가족종사자,중등,전혀 지장없음,중,상
남성,임금_중숙련,초등,그렇지 않은 편,중,중
남성,임금_중숙련,초등,전혀 지장없음,중,중
여성,임금_저숙련,중등,전혀 지장없음,상,상
남성,부분은퇴,중등,그렇지 않은 편,중,상
남성,임금_중숙련,중등,전혀 지장없음,중,상
여성,임금_저숙련,중등,전혀 지장없음,중,상
여성,비경활,중등,그렇지 않은 편,하,중
여성,임금_저숙련,중등,전혀 지장없음,하,중
남성,임금_저숙련,중등,그렇지 않은 편,상,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
여성,임금_저숙련,중등,전혀 지장없음,중,중
여성,비경활,초등,전혀 지장없음,중,상
남성,임금_고숙련,초등,전혀 지장없음,상,중
여성,은퇴,중등,전혀 지장없음,중,상
남성,임금_중숙련,중등,그렇지 않은 편,중,중
남성,은퇴,중등,전혀 지장없음,상,상
남성,임금_고숙련,중등,그렇지 않은 편,상,중
여성,은퇴,중등,그렇지 않은 편,중,중
여성,임금_저숙련,중등,그렇지 않은 편,상,상
남성,임금_저숙련,중등,전혀 지장없음,하,중
남성,임금_중숙련,중등,그렇지 않은 편,중,중
여성,임금_저숙련,고등,그렇지 않은 편,하,중
여성,비경활,중등,전혀 지장없음,중,중
여성,비경활,고등,그렇지 않은 편,중,중
여성,은퇴,중등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,중,상
여성,비경활,중등,전혀 지장없음,중,상
남성,부분은퇴,중등,전혀 지장없음,상,중
남성,은퇴,중등,그렇지 않은 편,중,상
남성,임금_저숙련,중등,그렇지 않은 편,중,중
여성,임금_저숙련,중등,그렇지 않은 편,중,중
여성,비경활,중등,그렇지 않은 편,중,중
여성,비경활,중등,전혀 지장없음,하,중
여성,임금_저숙련,고등,그렇지 않은 편,중,상
여성,비경활,중등,그렇지 않은 편,상,상
여성,임금_저숙련,중등,그렇지 않은 편,하,상
여성,임금_저숙련,중등,그렇지 않은 편,중,중
남성,임금_중숙련,초등,그렇지 않은 편,상,중
여성,비경활,중등,그렇지 않은 편,중,중
남성,임금_고숙련,중등,전혀 지장없음,상,중
남성,은퇴,초등,전혀 지장없음,중,중
여성,비경활,중등,그렇지 않은 편,중,중
남성,임금_중숙련,중등,전혀 지장없음,상,중
여성,비경활,대학교 이상,그렇지 않은 편,상,중
남성,은퇴,중등,그렇지 않은 편,상,중
여성,임금_저숙련,중등,그렇지 않은 편,상,중
여성,은퇴,중등,전혀 지장없음,중,중
여성,임금_저숙련,중등,전혀 지장없음,하,상
여성,비경활,중등,전혀 지장없음,상,중
남성,은퇴,초등,전혀 지장없음,상,중
여성,은퇴,중등,전혀 지장없음,상,중
